map,map_family,agents,nominal_budget_ms,short_budget_ms,base_time_limit_sec,candidate_set,solver_rows_materialized,finite_ratio_rows,finite_ratio_rate,both_success_pair_rate_static_flow_candidate,static_flow_success_rate,source,g546_finite_ratio_rows,g547_smoke_finite_ratio_rows,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random-32-32-20,random,100,2000,100,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,100,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,250,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,250,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,250,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,250,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,500,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,500,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,500,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,500,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,1000,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,1000,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,1000,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,1000,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,2000,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,2000,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,2000,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
random-32-32-20,random,100,2000,2000,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,25,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,25,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,25,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,25,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,50,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,50,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,50,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,50,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,100,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,100,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,100,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,100,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,250,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,250,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,250,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,250,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,500,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,500,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,500,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,500,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,1000,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,1000,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,1000,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,1000,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,2000,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,2000,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,2000,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,500,2000,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,25,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,25,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,25,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,25,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,50,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,50,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,50,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,50,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,100,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,100,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,100,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,100,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,250,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,250,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,250,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,250,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,500,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,500,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,500,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,500,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,1000,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,1000,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,1000,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,1000,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,2000,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,2000,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,2000,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,1000,2000,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,25,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,25,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,25,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,25,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,50,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,50,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,50,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,50,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,100,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,100,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,100,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,100,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,250,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,250,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,250,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,250,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,500,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,500,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,500,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,500,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,1000,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,1000,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,1000,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,1000,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,2000,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,2000,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,2000,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,50,2000,2000,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,25,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,25,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,25,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,25,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,50,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,50,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,50,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,50,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,100,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,100,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,100,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,100,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,250,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,250,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,250,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,250,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,500,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,500,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,500,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,500,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,1000,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,1000,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,1000,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,1000,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,2000,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,2000,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,2000,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,500,2000,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,25,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,25,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,25,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,25,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,50,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,50,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,50,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,50,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,100,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,100,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,100,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,100,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,250,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,250,0.5,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,250,1,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,250,2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
warehouse-10-20-10-2-1,warehouse,100,1000,500,0.2,additive/static_flow/family_static/fulltheta_smoke,0,0,0,0,0,calibration_grid_declared_not_long_run_locally,0,0,False,False,False,False,False
