candidate_id,context_id,counterfactual_label_available,label_status,leakage_safe,short_probe_delta_ratio,success_delta
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:271,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:271,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:272,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:272,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:272,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:272,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:272,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:272,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:272,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:273,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:273,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:273,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:273,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:273,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:273,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:273,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:274,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:274,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:274,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:274,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:274,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:274,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:274,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:275,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:275,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:275,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:275,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:275,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:275,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:275,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:276,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:276,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:276,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:276,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:276,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:276,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:276,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:277,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:277,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:277,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:277,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:277,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:277,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:277,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:278,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:278,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:278,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:278,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:278,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:278,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:278,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:279,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:279,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:279,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:279,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:279,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:279,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:279,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:280,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:280,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:280,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:280,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:280,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:280,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:280,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:281,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:281,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:281,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:281,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:281,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:281,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:281,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:282,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:282,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:282,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:282,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:282,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:282,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:282,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:283,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:283,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:283,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:283,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:283,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:283,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:283,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:284,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:284,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:284,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:284,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:284,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:284,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:284,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:285,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:285,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:285,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:285,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:285,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:285,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:285,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:286,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:286,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:286,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:286,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:286,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:286,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:286,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:287,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:287,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:287,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:287,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:287,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:287,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:287,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:288,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:288,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:288,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:288,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:288,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:288,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:288,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:289,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:289,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:289,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:289,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:289,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:289,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:289,False,unavailable_no_replay_snapshot,True,,
repair5g2_best_frozen_static_candidate,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:290,False,unavailable_no_replay_snapshot,True,,
repair5g2_frozen_static_or_selector,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:290,False,unavailable_no_replay_snapshot,True,,
repair5g_dual_c_equiv_additive,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:290,False,unavailable_no_replay_snapshot,True,,
repair5g2_c_equiv_best_frozen_baseline,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:290,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c125_b125_w075_d095_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:290,False,unavailable_no_replay_snapshot,True,,
repair5g1_shield_c100_b125_w075_d100_beta0p35_max0p75,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:290,False,unavailable_no_replay_snapshot,True,,
additive_ltm,outputs/logs/phase5p5_repair5g5_runtime_smoke/phase5p5_repair5g5_runtime_smoke_ltm_updates.jsonl:290,False,unavailable_no_replay_snapshot,True,,
