agents,baseline_method,baseline_ratio,baseline_success,better_vs_ltm,candidate_id,component,contender_method,delta_ratio_vs_ltm,equal_vs_ltm,map,repair5g2_selected_source_method,repair5g3_synthetic_source_method,scen,seed,success,sum_of_loss_ratio,worse_vs_ltm
100,lacam_star_ltm,1.27888257576,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,random-32-32-20,,,random-32-32-20-random-139.scen,139,True,1.27888257576,False
100,lacam_star_ltm,1.33211512106,True,False,always_additive_defer,control,always_additive_defer,0.0,True,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,1.33211512106,False
100,lacam_star_ltm,1.33211512106,True,False,laur_disable,control,laur_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,1.33211512106,False
100,lacam_star_ltm,1.33211512106,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,1.33211512106,False
100,lacam_star_ltm,1.33211512106,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,1.33211512106,False
100,lacam_star_ltm,1.33211512106,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,1.33211512106,False
100,lacam_star_ltm,1.33211512106,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,1.33211512106,False
100,lacam_star_ltm,1.33211512106,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,1.33211512106,False
100,lacam_star_ltm,1.33211512106,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,random-32-32-20,,,random-32-32-20-random-140.scen,140,True,1.33211512106,False
100,lacam_star_ltm,1.27900552486,True,False,always_additive_defer,control,always_additive_defer,0.0,True,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,1.27900552486,False
100,lacam_star_ltm,1.27900552486,True,False,laur_disable,control,laur_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,1.27900552486,False
100,lacam_star_ltm,1.27900552486,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,1.27900552486,False
100,lacam_star_ltm,1.27900552486,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,1.27900552486,False
100,lacam_star_ltm,1.27900552486,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,1.27900552486,False
100,lacam_star_ltm,1.27900552486,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,1.27900552486,False
100,lacam_star_ltm,1.27900552486,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,1.27900552486,False
100,lacam_star_ltm,1.27900552486,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,random-32-32-20,,,random-32-32-20-random-141.scen,141,True,1.27900552486,False
100,lacam_star_ltm,1.22738486842,True,False,always_additive_defer,control,always_additive_defer,0.0,True,random-32-32-20,,,random-32-32-20-random-142.scen,142,True,1.22738486842,False
100,lacam_star_ltm,1.22738486842,True,False,laur_disable,control,laur_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-142.scen,142,True,1.22738486842,False
100,lacam_star_ltm,1.22738486842,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,random-32-32-20,,,random-32-32-20-random-142.scen,142,True,1.22738486842,False
100,lacam_star_ltm,1.22738486842,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,random-32-32-20,,,random-32-32-20-random-142.scen,142,True,1.22738486842,False
100,lacam_star_ltm,1.22738486842,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-142.scen,142,True,1.22738486842,False
100,lacam_star_ltm,1.22738486842,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-142.scen,142,True,1.22738486842,False
100,lacam_star_ltm,1.22738486842,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-142.scen,142,True,1.22738486842,False
100,lacam_star_ltm,1.22738486842,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,random-32-32-20,,,random-32-32-20-random-142.scen,142,True,1.22738486842,False
100,lacam_star_ltm,1.26559934319,True,False,always_additive_defer,control,always_additive_defer,0.0,True,random-32-32-20,,,random-32-32-20-random-143.scen,143,True,1.26559934319,False
100,lacam_star_ltm,1.26559934319,True,False,laur_disable,control,laur_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-143.scen,143,True,1.26559934319,False
100,lacam_star_ltm,1.26559934319,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,random-32-32-20,,,random-32-32-20-random-143.scen,143,True,1.26559934319,False
100,lacam_star_ltm,1.26559934319,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,random-32-32-20,,,random-32-32-20-random-143.scen,143,True,1.26559934319,False
100,lacam_star_ltm,1.26559934319,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-143.scen,143,True,1.26559934319,False
100,lacam_star_ltm,1.26559934319,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-143.scen,143,True,1.26559934319,False
100,lacam_star_ltm,1.26559934319,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-143.scen,143,True,1.26559934319,False
100,lacam_star_ltm,1.26559934319,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,random-32-32-20,,,random-32-32-20-random-143.scen,143,True,1.26559934319,False
100,lacam_star_ltm,1.2407239819,True,False,always_additive_defer,control,always_additive_defer,0.0,True,random-32-32-20,,,random-32-32-20-random-144.scen,144,True,1.2407239819,False
100,lacam_star_ltm,1.2407239819,True,False,laur_disable,control,laur_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-144.scen,144,True,1.2407239819,False
100,lacam_star_ltm,1.2407239819,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,random-32-32-20,,,random-32-32-20-random-144.scen,144,True,1.2407239819,False
100,lacam_star_ltm,1.2407239819,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,random-32-32-20,,,random-32-32-20-random-144.scen,144,True,1.2407239819,False
100,lacam_star_ltm,1.2407239819,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-144.scen,144,True,1.2407239819,False
100,lacam_star_ltm,1.2407239819,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-144.scen,144,True,1.2407239819,False
100,lacam_star_ltm,1.2407239819,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-144.scen,144,True,1.2407239819,False
100,lacam_star_ltm,1.2407239819,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,random-32-32-20,,,random-32-32-20-random-144.scen,144,True,1.2407239819,False
100,lacam_star_ltm,1.30405405405,True,False,always_additive_defer,control,always_additive_defer,0.0,True,random-32-32-20,,,random-32-32-20-random-145.scen,145,True,1.30405405405,False
100,lacam_star_ltm,1.30405405405,True,False,laur_disable,control,laur_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-145.scen,145,True,1.30405405405,False
100,lacam_star_ltm,1.30405405405,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,random-32-32-20,,,random-32-32-20-random-145.scen,145,True,1.30405405405,False
100,lacam_star_ltm,1.30405405405,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,random-32-32-20,,,random-32-32-20-random-145.scen,145,True,1.30405405405,False
100,lacam_star_ltm,1.30405405405,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,random-32-32-20,,,random-32-32-20-random-145.scen,145,True,1.30405405405,False
100,lacam_star_ltm,1.30405405405,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-145.scen,145,True,1.30405405405,False
100,lacam_star_ltm,1.30405405405,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,random-32-32-20,,,random-32-32-20-random-145.scen,145,True,1.30405405405,False
100,lacam_star_ltm,1.30405405405,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,random-32-32-20,,,random-32-32-20-random-145.scen,145,True,1.30405405405,False
50,lacam_star_ltm,1.09019886364,True,False,always_additive_defer,control,always_additive_defer,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-136.scen,136,True,1.09019886364,False
50,lacam_star_ltm,1.09019886364,True,False,laur_disable,control,laur_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-136.scen,136,True,1.09019886364,False
50,lacam_star_ltm,1.09019886364,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-136.scen,136,True,1.09019886364,False
50,lacam_star_ltm,1.09019886364,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-136.scen,136,True,1.09019886364,False
50,lacam_star_ltm,1.09019886364,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-136.scen,136,True,1.09019886364,False
50,lacam_star_ltm,1.09019886364,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-136.scen,136,True,1.09019886364,False
50,lacam_star_ltm,1.09019886364,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-136.scen,136,True,1.09019886364,False
50,lacam_star_ltm,1.09019886364,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-136.scen,136,True,1.09019886364,False
50,lacam_star_ltm,1.06595689431,True,False,always_additive_defer,control,always_additive_defer,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-137.scen,137,True,1.06595689431,False
50,lacam_star_ltm,1.06595689431,True,False,laur_disable,control,laur_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-137.scen,137,True,1.06595689431,False
50,lacam_star_ltm,1.06595689431,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-137.scen,137,True,1.06595689431,False
50,lacam_star_ltm,1.06595689431,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-137.scen,137,True,1.06595689431,False
50,lacam_star_ltm,1.06595689431,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-137.scen,137,True,1.06595689431,False
50,lacam_star_ltm,1.06595689431,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-137.scen,137,True,1.06595689431,False
50,lacam_star_ltm,1.06595689431,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-137.scen,137,True,1.06595689431,False
50,lacam_star_ltm,1.06595689431,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-137.scen,137,True,1.06595689431,False
50,lacam_star_ltm,1.03199074966,True,False,always_additive_defer,control,always_additive_defer,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-138.scen,138,True,1.03199074966,False
50,lacam_star_ltm,1.03199074966,True,False,laur_disable,control,laur_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-138.scen,138,True,1.03199074966,False
50,lacam_star_ltm,1.03199074966,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-138.scen,138,True,1.03199074966,False
50,lacam_star_ltm,1.03199074966,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-138.scen,138,True,1.03199074966,False
50,lacam_star_ltm,1.03199074966,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-138.scen,138,True,1.03199074966,False
50,lacam_star_ltm,1.03199074966,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-138.scen,138,True,1.03199074966,False
50,lacam_star_ltm,1.03199074966,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-138.scen,138,True,1.03199074966,False
50,lacam_star_ltm,1.03199074966,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-138.scen,138,True,1.03199074966,False
50,lacam_star_ltm,1.07967032967,True,False,always_additive_defer,control,always_additive_defer,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-139.scen,139,True,1.07967032967,False
50,lacam_star_ltm,1.07967032967,True,False,laur_disable,control,laur_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-139.scen,139,True,1.07967032967,False
50,lacam_star_ltm,1.07967032967,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-139.scen,139,True,1.07967032967,False
50,lacam_star_ltm,1.07967032967,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-139.scen,139,True,1.07967032967,False
50,lacam_star_ltm,1.07967032967,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-139.scen,139,True,1.07967032967,False
50,lacam_star_ltm,1.07967032967,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-139.scen,139,True,1.07967032967,False
50,lacam_star_ltm,1.07967032967,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-139.scen,139,True,1.07967032967,False
50,lacam_star_ltm,1.07967032967,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-139.scen,139,True,1.07967032967,False
50,lacam_star_ltm,1.05567010309,True,False,always_additive_defer,control,always_additive_defer,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-140.scen,140,True,1.05567010309,False
50,lacam_star_ltm,1.05567010309,True,False,laur_disable,control,laur_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-140.scen,140,True,1.05567010309,False
50,lacam_star_ltm,1.05567010309,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-140.scen,140,True,1.05567010309,False
50,lacam_star_ltm,1.05567010309,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-140.scen,140,True,1.05567010309,False
50,lacam_star_ltm,1.05567010309,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-140.scen,140,True,1.05567010309,False
50,lacam_star_ltm,1.05567010309,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-140.scen,140,True,1.05567010309,False
50,lacam_star_ltm,1.05567010309,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-140.scen,140,True,1.05567010309,False
50,lacam_star_ltm,1.05567010309,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-140.scen,140,True,1.05567010309,False
50,lacam_star_ltm,1.12671420735,True,False,always_additive_defer,control,always_additive_defer,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-141.scen,141,True,1.12671420735,False
50,lacam_star_ltm,1.12671420735,True,False,laur_disable,control,laur_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-141.scen,141,True,1.12671420735,False
50,lacam_star_ltm,1.12671420735,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-141.scen,141,True,1.12671420735,False
50,lacam_star_ltm,1.12671420735,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-141.scen,141,True,1.12671420735,False
50,lacam_star_ltm,1.12671420735,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-141.scen,141,True,1.12671420735,False
50,lacam_star_ltm,1.12671420735,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-141.scen,141,True,1.12671420735,False
50,lacam_star_ltm,1.12671420735,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-141.scen,141,True,1.12671420735,False
50,lacam_star_ltm,1.12671420735,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-141.scen,141,True,1.12671420735,False
50,lacam_star_ltm,1.06984273821,True,False,always_additive_defer,control,always_additive_defer,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-142.scen,142,True,1.06984273821,False
50,lacam_star_ltm,1.06984273821,True,False,laur_disable,control,laur_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-142.scen,142,True,1.06984273821,False
50,lacam_star_ltm,1.06984273821,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-142.scen,142,True,1.06984273821,False
50,lacam_star_ltm,1.06984273821,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-142.scen,142,True,1.06984273821,False
50,lacam_star_ltm,1.06984273821,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-142.scen,142,True,1.06984273821,False
50,lacam_star_ltm,1.06984273821,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-142.scen,142,True,1.06984273821,False
50,lacam_star_ltm,1.06984273821,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-142.scen,142,True,1.06984273821,False
50,lacam_star_ltm,1.06984273821,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-142.scen,142,True,1.06984273821,False
50,lacam_star_ltm,1.09521820839,True,False,always_additive_defer,control,always_additive_defer,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-143.scen,143,True,1.09521820839,False
50,lacam_star_ltm,1.09521820839,True,False,laur_disable,control,laur_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-143.scen,143,True,1.09521820839,False
50,lacam_star_ltm,1.09521820839,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-143.scen,143,True,1.09521820839,False
50,lacam_star_ltm,1.09521820839,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-143.scen,143,True,1.09521820839,False
50,lacam_star_ltm,1.09521820839,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-143.scen,143,True,1.09521820839,False
50,lacam_star_ltm,1.09521820839,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-143.scen,143,True,1.09521820839,False
50,lacam_star_ltm,1.09521820839,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-143.scen,143,True,1.09521820839,False
50,lacam_star_ltm,1.09521820839,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-143.scen,143,True,1.09521820839,False
50,lacam_star_ltm,1.10213601768,True,False,always_additive_defer,control,always_additive_defer,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-144.scen,144,True,1.10213601768,False
50,lacam_star_ltm,1.10213601768,True,False,laur_disable,control,laur_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-144.scen,144,True,1.10213601768,False
50,lacam_star_ltm,1.10213601768,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-144.scen,144,True,1.10213601768,False
50,lacam_star_ltm,1.10213601768,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-144.scen,144,True,1.10213601768,False
50,lacam_star_ltm,1.10213601768,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-144.scen,144,True,1.10213601768,False
50,lacam_star_ltm,1.10213601768,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-144.scen,144,True,1.10213601768,False
50,lacam_star_ltm,1.10213601768,True,False,repair5g_dual_additive_parity,control,repair5g_dual_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-144.scen,144,True,1.10213601768,False
50,lacam_star_ltm,1.10213601768,True,False,repair5g_dual_c_equiv_additive,control,repair5g_dual_c_equiv_additive,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-144.scen,144,True,1.10213601768,False
50,lacam_star_ltm,1.07806297962,True,False,always_additive_defer,control,always_additive_defer,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-145.scen,145,True,1.07806297962,False
50,lacam_star_ltm,1.07806297962,True,False,laur_disable,control,laur_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-145.scen,145,True,1.07806297962,False
50,lacam_star_ltm,1.07806297962,True,False,laur_force_additive_direct,control,laur_force_additive_direct,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-145.scen,145,True,1.07806297962,False
50,lacam_star_ltm,1.07806297962,True,False,repair5f_candidate_additive_ltm,control,repair5f_candidate_additive_ltm,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-145.scen,145,True,1.07806297962,False
50,lacam_star_ltm,1.07806297962,True,False,repair5g5_contextual_flow_shield_selector_disable,diagnostic,repair5g5_contextual_flow_shield_selector_disable,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-145.scen,145,True,1.07806297962,False
50,lacam_star_ltm,1.07806297962,True,False,repair5g5_contextual_flow_shield_selector_force_additive_parity,diagnostic,repair5g5_contextual_flow_shield_selector_force_additive_parity,0.0,True,warehouse-10-20-10-2-1,,,warehouse-10-20-10-2-1-random-145.scen,145,True,1.07806297962,False
